,conf,detections,wrongDetections,wrongDetectionsP,IDs,wrongIds,wrongIdsP,remainingDetections,remainingDetectionsP,remainingIds,remainingIdsP,DET,DETWRONG,IDS,IDSWRONG
42,42.0,868499,60504,13.93300395279672,3931,2026,51.539048588145505,868499,82.2416534331787,3931,95.9716796875,76.51228702133362,5.729366411845084,46.5087890625,49.462890625
43,43.0,866318,59648,13.770463040130759,3928,2026,51.57841140529531,866318,82.03512579625826,3928,95.8984375,76.38681745740901,5.64830833884926,46.435546875,49.462890625
44,44.0,864219,58835,13.615761745576064,3921,2023,51.593981127263454,864219,81.83636306819957,3921,95.7275390625,76.26504095989425,5.571322108305328,46.337890625,49.3896484375
45,45.0,862075,57975,13.450105849259057,3916,2021,51.608784473953015,862075,81.63333910966799,3916,95.60546875,76.1434538504005,5.489885259267465,46.2646484375,49.3408203125
46,46.0,857789,56320,13.131434420352791,3907,2018,51.65088303045815,857789,81.2274805806258,3907,95.3857421875,75.89431390875096,5.333166671874837,46.1181640625,49.267578125
47,47.0,855690,55496,12.971052600825065,3897,2016,51.73210161662818,855690,81.02871785256711,3897,95.1416015625,75.7735790453518,5.255138807215305,45.9228515625,49.21875
48,48.0,853608,54714,12.819467483903619,3886,2012,51.77560473494596,853608,80.83156492268706,3886,94.873046875,75.65047683168991,5.181088090997156,45.751953125,49.12109375
49,49.0,851447,53890,12.658450848966524,3885,2012,51.78893178893179,851447,80.62693116597683,3885,94.8486328125,75.5238709396392,5.1030602263376235,45.7275390625,49.12109375
50,50.0,847167,52347,12.358130097135511,3870,2007,51.86046511627907,847167,80.22164080099769,3870,94.482421875,75.26469343287567,4.956947368122019,45.4833984375,48.9990234375
51,51.0,845006,51555,12.202280220495476,3861,2005,51.929551929551934,845006,80.01700704428745,3861,94.2626953125,75.13505733248866,4.881949711798779,45.3125,48.9501953125
52,52.0,842881,50788,12.051048724553052,3853,2003,51.98546587075007,842881,79.81578227195551,3853,94.0673828125,75.00646286621725,4.809319405738267,45.166015625,48.9013671875
53,53.0,838625,49280,11.752571173051125,3843,2000,52.042674993494664,838625,79.4127645632286,3843,93.8232421875,74.74624372533812,4.6665208378904826,44.9951171875,48.828125
54,54.0,836526,48549,11.607290149977405,3831,1994,52.049073348995044,836526,79.21400183516992,3831,93.5302734375,74.61670231896163,4.597299516208301,44.8486328125,48.681640625
55,55.00000000000001,834306,47803,11.45934465292111,3819,1990,52.107881644409524,834306,79.00378113183963,3819,93.2373046875,74.47712334747115,4.526657784368481,44.6533203125,48.583984375
56,56.00000000000001,832148,47041,11.305921542802484,3811,1986,52.11230648123853,832148,78.7994314571609,3811,93.0419921875,74.34493050880039,4.454500948360515,44.5556640625,48.486328125
57,57.00000000000001,827826,45591,11.014633509940493,3795,1982,52.22661396574439,827826,78.3901639437404,3795,92.6513671875,74.07296931061813,4.31719463312226,44.2626953125,48.388671875
58,57.99999999999999,825617,44877,10.871142430448986,3789,1980,52.25653206650831,825617,78.1809848745257,3789,92.5048828125,73.93140176490697,4.249583109618733,44.1650390625,48.33984375
59,59.0,823462,44190,10.732735693936089,3776,1978,52.38347457627118,823462,77.9769192818785,3776,92.1875,73.79239095747955,4.184528324398953,43.896484375,48.291015625
60,60.0,821350,43531,10.599866074146224,3770,1977,52.44031830238727,821350,77.77692553168319,3770,92.041015625,73.65480056020976,4.122124971473429,43.7744140625,48.2666015625
61,61.0,816958,42168,10.32317450835906,3743,1968,52.57814587229495,816958,77.36102943752705,3743,91.3818359375,73.36797240237757,3.99305703514947,43.3349609375,48.046875
62,62.0,814819,41487,10.183120423063281,3734,1963,52.57096946973755,814819,77.15847894904799,3734,91.162109375,73.22990853505526,3.928570413992744,43.2373046875,47.9248046875
63,63.0,812632,40824,10.047352307071343,3721,1956,52.56651437785541,812632,76.9513831480645,3721,90.8447265625,73.08559486303932,3.8657882850251837,43.0908203125,47.75390625
64,64.0,808220,39530,9.781990052213505,3698,1948,52.677122769064354,808220,76.53359317369816,3698,90.283203125,72.79033893827182,3.7432542354263547,42.724609375,47.55859375
65,65.0,805967,38828,9.635133944690043,3694,1945,52.652950730914995,805967,76.32024756802107,3694,90.185546875,72.64346852797213,3.6767790400489377,42.7001953125,47.4853515625
66,66.0,803714,38134,9.489445250424902,3680,1940,52.71739130434783,803714,76.10690196234398,3680,89.84375,72.49584056558838,3.611061396755594,42.48046875,47.36328125
