,id,age,degree,strength,lcc,lccF,lccFinv,between,betweenF,betweenFinv,closeness,closenessF,closenessFinv,evc,evcF,evcFinv
845,256,28,614,5174,0.7383774994553406,0.015565520908217013,0.18203020236572623,0.0005346216788287865,0.001000962329875998,0.005730154202392738,0.7291044776119403,0.5306898424769148,17.622441874272564,0.035355157437802674,0.038249219843373004,0.03559581057682097
846,543,31,472,1476,0.7306488178775774,0.008645286747055152,0.27013763693359993,0.0002882414225869082,0.0022888188398115564,0.0,0.6592442645074224,0.5458100558659218,9.774720381558856,0.027119378253444675,0.008926629409953724,0.04165306973200817
847,2755,46,556,2872,0.7441441441441441,0.011774095459490755,0.22089300330522343,0.0003922130946089365,0.0014242118342358433,1.2584526066748326e-05,0.6988555078683834,0.5368131868131868,11.57677707675386,0.031866151116014374,0.01444101527164693,0.03864096723318049
848,52,7,643,4683,0.6983038037237831,0.01453354385323831,0.16435517313955642,0.0008156142206848744,0.0007533611464522175,0.0013318623420641978,0.7452326468344775,0.5258342303552207,14.91991552149816,0.03591569266898158,0.032585834317771914,0.03311089098352391
849,3485,34,548,3596,0.738714154178732,0.013768683220926671,0.1957281720624706,0.0003540736003374641,0.0009147626359810463,0.00018247562796785074,0.6948790896159317,0.5321350762527233,13.667367752421605,0.03108135854302895,0.018676641900715673,0.03430308778493267
850,3091,0,175,659,0.7193431855500821,0.010234346564104704,0.22742842434288138,6.43121564809997e-05,0.00021537948504983122,0.0,0.548876404494382,0.5067427385892116,10.68527782401294,0.008970269311889812,0.004144100481591349,0.011771327925216847
851,2950,32,321,974,0.8057242990654205,0.00968620322416892,0.29678739232314766,8.379882546119166e-05,0.001135468134316315,0.0,0.5982853643600735,0.5330060010911075,9.023827648153953,0.019394008261096093,0.006819893865536047,0.030108061455211402
852,3664,25,373,1142,0.76901899737669,0.009150615498922838,0.28420136183176037,0.00017116453614947366,0.0014055805358920604,0.0,0.6179633143580012,0.5362239297475302,8.793740299498698,0.02104305009736235,0.005692345386923412,0.03379876308042365
853,573,39,356,1312,0.789792688716569,0.010023177700271288,0.27733494779721235,0.00010238359752527623,0.0010344486369911437,4.194842022249442e-06,0.6113892365456821,0.5312669929309407,11.94644842419514,0.021164615102865277,0.008053310485949804,0.031035992501629722
854,135,31,653,4718,0.7411099315100668,0.014583378389841924,0.18183938138247738,0.0004329379152785969,0.0009186197986533785,0.0008767219826501334,0.7509607993850884,0.5306898424769148,15.686444412125601,0.03767265836557685,0.02719721974948676,0.03650435104340357
855,1203,46,640,4844,0.7282961658841941,0.01489191025202346,0.17195720941806653,0.0005386705477995612,0.000729749952162465,0.0018897763310233738,0.743531202435312,0.5264008620689655,15.363777667591133,0.0364567899339172,0.02684405426501302,0.03379398791054718
856,1180,0,117,432,0.7357795461243737,0.010102315247800215,0.24724487146458046,3.482239915354196e-05,0.00022249438475599055,0.0,0.5312669929309407,0.5059554634904194,9.619279075184663,0.005854796026182305,0.002508987636339659,0.009225375834853713
857,1132,0,270,2225,0.7984304006608839,0.017802243578940485,0.20965754100228684,7.928399791274708e-05,0.00046107242702316296,4.194842022249442e-06,0.580166270783848,0.520234291799787,15.175679178565986,0.015381123193915502,0.018317237710221684,0.018993855792411224
858,2921,21,596,3010,0.7585640967796514,0.011820580484675412,0.22621537902479708,0.00036017415542599504,0.0015468711969484174,0.0008976961927613807,0.719440353460972,0.5397790055248619,14.370124422269107,0.034956737122169214,0.018814727758755995,0.042184467618985144
859,1739,11,729,6541,0.6838586653401468,0.015875622867644247,0.1515410081756947,0.0010309507948671028,0.0009805182254408646,0.0012060170813967147,0.7975510204081633,0.5292524377031419,16.29685353335193,0.040558061183021264,0.04700245375827402,0.035774662558272156
860,3846,31,624,4694,0.7379872000658517,0.014392046811799175,0.1856672074679517,0.00044955418264139806,0.0008146990207562217,0.003804721714180244,0.7345864661654136,0.5278227984873042,16.877244461331507,0.036093452222434916,0.030969326378724755,0.03593676460375713
861,3457,21,691,5703,0.7454896285576459,0.016447778211972026,0.16745417340559599,0.0005081467163609846,0.000764735343355063,0.0017660284913670152,0.7735550277117973,0.5286796536796536,15.514577825830917,0.04013701899241425,0.03777440733318807,0.03565570703625989
862,2004,0,159,552,0.7426956452511743,0.010090794015908332,0.2552230016661837,5.13282680393183e-05,0.0003746022237078038,0.0,0.5436839176405119,0.5144813059505002,9.698230491511964,0.008437693635567602,0.0036280383724551298,0.013108360969278402
863,1002,20,741,4557,0.7269942006784113,0.013911839949783967,0.17209414921162627,0.0006460222859318367,0.0006532031524202663,0.0,0.8054410552349547,0.5238605898123324,11.919470898277462,0.04254144460755638,0.028569100035147194,0.03705307222976396
864,235,47,405,1718,0.7919447500305586,0.011088012347065407,0.261603877823393,0.0001381449434718339,0.0010813228163391042,4.4045841233619144e-05,0.6307295029051001,0.533588203167668,13.066800092008418,0.023384698106487044,0.008313620789412746,0.03318361929805119
865,3882,12,716,6940,0.7331640426612493,0.017869290191920902,0.1470289404822494,0.0006368368017024477,0.0004157344397080986,0.004979801835662869,0.7891760904684976,0.5180275715800636,16.523431558461578,0.04128167773852815,0.04423360760996398,0.03094763585574139
866,1017,53,501,2899,0.7750259481037924,0.012973805018442218,0.22126901793548462,0.00021196027593095563,0.000982078718310542,9.648136651173717e-05,0.6724019270474879,0.5309782608695652,13.524869469159343,0.029030822594139555,0.014089401592436308,0.03393798807108422
867,3443,42,156,226,0.8260545905707196,0.006464016503410484,0.421739987128879,1.4803756357603607e-05,0.0011392853560554998,0.0,0.5430794886047804,0.5321350762527233,7.7852281602302575,0.009370704176517766,0.001604192675342703,0.021619969621630833
868,2538,12,774,8676,0.6736932184749508,0.018804724767370225,0.12370555035240731,0.00119652920141692,0.000656566450904394,0.002091128748091347,0.8279661016949152,0.5224598930481283,16.914828379627888,0.04278275267013621,0.061814528775369436,0.030217451234186312
869,111,31,540,3287,0.7510685082113654,0.01306714112842849,0.211577475028724,0.0003321285750726533,0.001036657862411454,0.0005390371998590533,0.690947666195191,0.5318454001088732,14.47970526438086,0.031382366429954664,0.022373663102635027,0.03637976346919497
870,3395,42,109,199,0.890587835541964,0.008902602555820602,0.38087883838310166,3.7148900864650618e-06,0.0003960023796179746,0.0,0.5292524377031419,0.5185774946921444,7.0639383253653145,0.006563785425127797,0.0016121353244674538,0.013744075525628813
871,2165,38,525,2335,0.7657360959651036,0.011283251280037822,0.2420571538593652,0.0002656395762752669,0.0014013713249725844,0.0,0.6836948915325403,0.5394809497515185,13.351765818799137,0.030923820910036284,0.01648934393903606,0.04013494103568306
